"","Birthday","Gender","Breathold","position1","Breathold2","position","pulse_start","time_down_up","pulse_after_down_up","height_in","Age_yrs","arm_shoulder_fingertip_inches","right hand_thumb_pinkty_ inch","handed_R_or_L","Vetran_Y_or_N","Believe_big_bang","Ever _Smoke_cig","Ever Vote","will_vote_Nov","will vote Nov (Y or N)","preferred  class seat(Front, Middle, Back)","sect"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
"69",164,"M",22,"down",16,"down",60,15,64,75,34,NA,8,"L","N","N","Y","Y","Y","0","Middle","Eve"
"70",29,"M",23,"up",31,"down",102,27,126,67,20,28,8,"R","N","Y","N","Y","Y","$13.76","Back","Eve"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
"72",303,"M",27,"up",45,"up",68,29,132,72,28,34,9.875,"R","N","N","Y","Y","N","0","Back","Eve"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
"74",215,"F",45,"up",32,"down",78,20,123,58,29,28,7,"R","N","n","y","Y","Y","$25","Middle","Eve"
"75",118,"M",45,"down",40,"up",70,NA,120,66,23,NA,7,"R","N","N","N","Y","Y","0","middle","Eve"
"76",70,"F",25,"up",31,"down",69,25,107,66,24,26,7,"R","N","N","N","Y","Y","$60.25","Back","Eve"
"77",182,"F",26,"up",38,"down",59,16,5,65,21,25,8,"R","N","Y","N","Y","N","$95","Middle","Eve"
"78",102,"M",36,"down",32,"up",66,22,130,70,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
"79",168,"M",37,"down",48,"up",98,21,110,62,20,2.5,8,"R","N","N","N","Y","N","$1","Back","Eve"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
"81",348,"F",20,"down",20,NA,72,40,96,64,19,28,6,"R","N","Y","N","N","Y","84 cents","front","Eve"
"82",NA,NA,NA,NA,NA,NA,NA,26,102,65,38,28,6,"R","N","N","N","Y","Y","$5.30","middle","Eve"
"83",234,"F",28,"up",28,"down",66,NA,NA,65,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eve"
